epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
1,25.1915,2.50338,2.42908,1.12234,50829.8,0.51089,0.40115,0.39389,0.20881,18607.4,2.14568,1.71831,1.07812,0,0.00055011,0.00055011,0.00055011
2,47.1772,2.19029,1.60569,1.02288,53794.4,0.57736,0.4593,0.46842,0.25131,23348.9,2.02811,1.53206,1.03219,0,0.00109483,0.00109483,0.00109483
3,69.1419,2.157,1.4935,1.00284,49503.4,0.57927,0.46887,0.48177,0.26047,18853.1,1.9982,1.61682,1.01553,0,0.00162855,0.00162855,0.00162855
4,91.0465,2.09969,1.41045,0.99378,45212.6,0.60846,0.4896,0.5109,0.27438,22876.6,1.98159,1.53132,1.01739,0,0.00161749,0.00161749,0.00161749
5,113.704,2.08605,1.38153,0.98414,41481.7,0.62786,0.48615,0.52072,0.27498,18180.3,1.99048,1.51405,1.01272,0,0.00160099,0.00160099,0.00160099
6,135.726,2.09009,1.37579,0.98331,38624.9,0.62085,0.50522,0.52995,0.28555,17156,1.93985,1.4608,1.00522,0,0.00158448,0.00158448,0.00158448
7,157.58,2.04945,1.34252,0.9774,35745.8,0.67232,0.50731,0.55469,0.30317,16399.2,1.90661,1.30265,0.99603,0,0.00156798,0.00156798,0.00156798
8,179.418,2.04289,1.31574,0.97409,32810.5,0.66822,0.51431,0.55878,0.3019,13969.6,1.90081,1.3318,0.99255,0,0.00155148,0.00155148,0.00155148
9,201.479,1.99671,1.28244,0.96623,31861.8,0.66965,0.51394,0.56205,0.30649,13068.9,1.90383,1.38569,0.99568,0,0.00153497,0.00153497,0.00153497
10,223.496,2.00821,1.27102,0.9731,29366.7,0.66349,0.52344,0.56594,0.30661,12262.8,1.90483,1.36956,0.99405,0,0.00151847,0.00151847,0.00151847
11,245.323,2.00752,1.26153,0.96355,26505.9,0.65422,0.51889,0.55694,0.30086,9732.62,1.92784,1.33898,0.9961,0,0.00150197,0.00150197,0.00150197
12,267.191,1.98667,1.24499,0.96271,22892.6,0.66157,0.51637,0.55638,0.30533,10104.1,1.92682,1.31006,1.00278,0,0.00148546,0.00148546,0.00148546
13,289.349,2.00435,1.23782,0.96015,21235.4,0.66708,0.51992,0.56701,0.3091,8363.75,1.89643,1.34422,0.99357,0,0.00146896,0.00146896,0.00146896
14,311.294,1.97509,1.22124,0.95866,18697,0.66878,0.53073,0.57119,0.3113,6911.75,1.9039,1.2881,0.99178,0,0.00145246,0.00145246,0.00145246
15,333.148,1.96031,1.20892,0.95452,15784.1,0.68704,0.52283,0.57555,0.31709,5747.67,1.87972,1.29701,0.98834,0,0.00143595,0.00143595,0.00143595
16,355.689,1.96152,1.20738,0.95585,14041.7,0.68786,0.52896,0.57982,0.31863,5396.09,1.88432,1.23213,0.98583,0,0.00141945,0.00141945,0.00141945
17,377.5,1.94183,1.1862,0.94825,12532.7,0.70006,0.52518,0.5826,0.31933,4278.79,1.86956,1.30138,0.98428,0,0.00140295,0.00140295,0.00140295
18,399.251,1.94608,1.20017,0.95469,10431,0.70024,0.53388,0.58845,0.32584,3464.21,1.85165,1.22863,0.97918,0,0.00138644,0.00138644,0.00138644
19,421.338,1.93496,1.181,0.94969,8473.39,0.68893,0.54281,0.58915,0.32399,2761.43,1.86545,1.2842,0.98157,0,0.00136994,0.00136994,0.00136994
20,443.397,1.93496,1.17627,0.95139,6252.12,0.69636,0.53065,0.58284,0.31988,2029.36,1.8751,1.27824,0.98789,0,0.00135344,0.00135344,0.00135344
21,465.247,1.93694,1.17744,0.94986,5209.99,0.69888,0.54385,0.59474,0.32916,1667.15,1.84809,1.23203,0.97864,0,0.00133693,0.00133693,0.00133693
22,487.164,1.92891,1.15948,0.94293,4102.49,0.69254,0.53735,0.58891,0.32626,1339.19,1.85579,1.23693,0.98325,0,0.00132043,0.00132043,0.00132043
23,509.519,1.93725,1.1622,0.94397,3027.41,0.70354,0.55192,0.60222,0.33404,1113.16,1.83908,1.20615,0.97972,0,0.00130393,0.00130393,0.00130393
24,531.691,1.93582,1.16296,0.94283,2378.98,0.70783,0.54449,0.60036,0.33182,865.567,1.84667,1.19009,0.97641,0,0.00128742,0.00128742,0.00128742
25,553.973,1.93326,1.15526,0.94303,2042.74,0.70071,0.54508,0.59633,0.33112,755.022,1.84769,1.28004,0.9831,0,0.00127092,0.00127092,0.00127092
26,576.183,1.91277,1.14134,0.94347,1930.64,0.70443,0.54498,0.59797,0.3286,745.186,1.87127,1.23738,0.98112,0,0.00125442,0.00125442,0.00125442
27,598.787,1.90136,1.13523,0.94006,1809.89,0.70897,0.54499,0.59924,0.32898,660.664,1.8544,1.23951,0.97783,0,0.00123791,0.00123791,0.00123791
28,620.78,1.89846,1.12031,0.94113,1372.74,0.70466,0.54888,0.60464,0.3341,503.734,1.85029,1.17137,0.97992,0,0.00122141,0.00122141,0.00122141
29,643.072,1.9118,1.12867,0.94137,1177.91,0.70159,0.54006,0.59501,0.32728,485.909,1.87704,1.20352,0.98398,0,0.00120491,0.00120491,0.00120491
30,664.85,1.89137,1.12689,0.94111,1059.27,0.7073,0.55078,0.60607,0.3348,457.853,1.85297,1.21312,0.97732,0,0.0011884,0.0011884,0.0011884
