epoch,domain,sample_index,pc1,pc2
0,source,0,0.6498482823371887,0.15470826625823975
0,source,1,0.5216410756111145,0.1740168333053589
0,source,2,0.6109254956245422,0.08389246463775635
0,source,3,0.6907853484153748,0.21827459335327148
0,source,4,0.7103219628334045,0.4232921600341797
0,source,5,0.7379713654518127,0.47330236434936523
0,source,6,0.7195649743080139,0.4094579219818115
0,source,7,0.6956526637077332,0.251492977142334
0,source,8,0.7605583071708679,0.02310919761657715
0,source,9,1.0144808292388916,-0.06091022491455078
0,source,10,0.9758467078208923,0.04432499408721924
0,source,11,0.9062346816062927,0.1700119972229004
0,source,12,0.5502014756202698,0.181512713432312
0,source,13,0.8384481072425842,0.41962766647338867
0,source,14,0.7125146985054016,0.26683759689331055
0,source,15,0.9644786715507507,0.26866841316223145
0,source,16,0.9633622765541077,0.23585796356201172
0,source,17,0.9365985989570618,0.3888736963272095
0,source,18,0.9097514748573303,0.4318404197692871
0,source,19,1.0769376754760742,0.4865701198577881
0,source,20,0.9841094613075256,0.4132378101348877
0,source,21,0.9410329461097717,0.3917653560638428
0,source,22,1.021667242050171,0.24321186542510986
0,source,23,0.8728002905845642,0.12841784954071045
0,source,24,0.9160458445549011,0.0629427433013916
0,source,25,0.8406850695610046,0.17895066738128662
0,source,26,0.83123379945755,-0.05709803104400635
0,source,27,0.9159809947013855,-0.10472190380096436
0,source,28,0.8285730481147766,-0.03670799732208252
0,source,29,0.8987590670585632,0.005912423133850098
0,source,30,0.8625487685203552,0.11256253719329834
0,source,31,0.8894878029823303,0.0667886734008789
0,source,32,0.8209003806114197,0.22498643398284912
0,source,33,0.8550024628639221,0.11166691780090332
0,source,34,0.7322960495948792,0.08107006549835205
0,source,35,0.5876522660255432,0.06506001949310303
0,source,36,0.6220977902412415,0.05063354969024658
0,source,37,0.6940024495124817,-0.10472607612609863
0,source,38,0.7273312211036682,-0.21420300006866455
0,source,39,0.7489297986030579,-0.2508021593093872
0,source,40,0.7212260365486145,-0.20479321479797363
0,source,41,0.8672485947608948,-0.19588816165924072
0,source,42,0.8586122393608093,-0.29821133613586426
0,source,43,0.7342919707298279,-0.20385229587554932
0,source,44,0.8625643849372864,-0.10479366779327393
0,source,45,0.8228530287742615,0.06400179862976074
0,source,46,0.6975342631340027,0.09097814559936523
0,source,47,0.6858753561973572,0.1561427116394043
