epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
1,24.1957,2.50338,2.42908,1.12234,50829.8,0.51089,0.40115,0.39389,0.20881,18607.4,2.14568,1.71831,1.07812,0,0.00055011,0.00055011,0.00055011
2,45.219,2.18854,1.60322,1.02333,53824.2,0.5832,0.45978,0.47239,0.25417,23256.6,2.0186,1.50534,1.03002,0,0.00109483,0.00109483,0.00109483
3,66.4391,2.15815,1.49194,1.00268,49417.5,0.57944,0.46549,0.47833,0.25934,17850.2,2.0132,1.61796,1.02034,0,0.00162855,0.00162855,0.00162855
4,87.4978,2.09867,1.40709,0.99305,44163.6,0.62361,0.48854,0.51772,0.2761,18551.4,1.9755,1.46104,1.01377,0,0.00161749,0.00161749,0.00161749
5,108.698,2.08664,1.38087,0.98468,42028.6,0.61719,0.48884,0.51426,0.27302,17991.6,1.99946,1.50571,1.02024,0,0.00160099,0.00160099,0.00160099
6,129.781,2.08548,1.37537,0.98286,39835.2,0.60495,0.50136,0.51701,0.2771,16399.4,1.98049,1.53093,1.0169,0,0.00158448,0.00158448,0.00158448
7,150.833,2.05619,1.3477,0.9787,38049.8,0.66384,0.51203,0.55273,0.30099,16296.3,1.91441,1.33975,0.99596,0,0.00156798,0.00156798,0.00156798
8,171.81,2.04425,1.31345,0.97379,35713.7,0.65721,0.52071,0.56098,0.30196,13327,1.90083,1.35709,0.99065,0,0.00155148,0.00155148,0.00155148
9,192.841,2.00024,1.28685,0.96678,35417.5,0.6675,0.51422,0.56138,0.30626,14057.2,1.88931,1.40207,0.98814,0,0.00153497,0.00153497,0.00153497
10,213.891,2.00366,1.27341,0.97188,33279.4,0.65611,0.51974,0.55879,0.29944,13829.7,1.92298,1.4237,0.99769,0,0.00151847,0.00151847,0.00151847
11,234.868,2.00887,1.26538,0.96371,29100.8,0.65901,0.51761,0.55789,0.30364,11422.4,1.92037,1.30943,0.99041,0,0.00150197,0.00150197,0.00150197
12,255.935,1.9865,1.24991,0.96368,27948.2,0.65237,0.52398,0.55989,0.3052,10169.1,1.9073,1.29325,0.99719,0,0.00148546,0.00148546,0.00148546
13,277.073,2.00644,1.23962,0.9611,26123.4,0.67278,0.52363,0.56892,0.31006,10107.9,1.89051,1.31533,0.99075,0,0.00146896,0.00146896,0.00146896
14,298.112,1.97256,1.22391,0.95892,24957.5,0.67644,0.53339,0.57782,0.31475,8905.69,1.88991,1.27136,0.99004,0,0.00145246,0.00145246,0.00145246
15,319.222,1.95986,1.2035,0.95567,22654.1,0.68678,0.52327,0.57681,0.31784,8135.04,1.8742,1.32828,0.98707,0,0.00143595,0.00143595,0.00143595
